,Wellbore name,NPDCode,Year,Month,On Stream,Oil,Gas,Water,GI,WI
118,15/9-F-12,5599,2012,Aug,288.625,8998.24,1376155.08,54786.62,0.0,0.0
119,15/9-F-12,5599,2012,Sep,26.99166,1013.93,156920.4,4513.08,0.0,0.0
120,15/9-F-12,5599,2012,Oct,610.175,19612.85,3067585.4,121317.43,0.0,0.0
121,15/9-F-12,5599,2012,Nov,720.0,19018.88,3086439.76,134909.36,0.0,0.0
122,15/9-F-12,5599,2012,Dec,700.24999,16320.65,2717290.03,131667.43,0.0,0.0
123,15/9-F-12,5599,2013,Jan,744.0,17408.57,2881178.96,139783.93,0.0,0.0
124,15/9-F-12,5599,2013,Feb,672.0,15087.38,2461248.52,126325.44,0.0,0.0
125,15/9-F-12,5599,2013,Mar,307.76833,6305.81,1053665.62,57120.76,0.0,0.0
126,15/9-F-12,5599,2013,Apr,513.46573,12351.34,2055291.86,102945.43,0.0,0.0
127,15/9-F-12,5599,2013,May,732.05834,16313.4,2757755.17,147164.69,0.0,0.0
128,15/9-F-12,5599,2013,Jun,566.675,11899.57,2037219.83,112559.07,0.0,0.0
129,15/9-F-12,5599,2013,Jul,581.275,11861.63,1919702.47,112172.58,0.0,0.0
130,15/9-F-12,5599,2013,Aug,687.97685,15147.18,2354241.49,152994.91,0.0,0.0
131,15/9-F-12,5599,2013,Sep,589.985,9223.53,1446819.31,104678.41,0.0,0.0
132,15/9-F-12,5599,2013,Oct,680.0,8305.01,1283583.5,137534.62,0.0,0.0
133,15/9-F-12,5599,2013,Nov,648.64167,7170.56,1102962.23,122993.19,0.0,0.0
134,15/9-F-12,5599,2013,Dec,633.4,7079.52,1101388.53,125859.26,0.0,0.0
135,15/9-F-12,5599,2014,Jan,486.14168,4997.24,766195.72,87030.26,0.0,0.0
136,15/9-F-12,5599,2014,Feb,561.9,6101.4,921967.01,110297.86,0.0,0.0
137,15/9-F-12,5599,2014,Mar,656.72426,6835.66,1036071.18,127351.18,0.0,0.0
138,15/9-F-12,5599,2014,Apr,693.01833,5892.01,883605.0,141144.82,0.0,0.0
139,15/9-F-12,5599,2014,May,427.32999,3237.7,469664.0,88748.26,0.0,0.0
140,15/9-F-12,5599,2014,Jun,707.33333,5751.2,846733.74,152034.68,0.0,0.0
141,15/9-F-12,5599,2014,Jul,743.16667,5791.84,864045.93,152314.38,0.0,0.0
142,15/9-F-12,5599,2014,Aug,593.36666,4448.49,704538.16,126629.09,0.0,0.0
143,15/9-F-12,5599,2014,Sep,685.83333,5062.59,803970.67,149375.78,0.0,0.0
144,15/9-F-12,5599,2014,Oct,745.0,5385.61,833120.57,155365.68,0.0,0.0
145,15/9-F-12,5599,2014,Nov,580.94167,4495.06,700998.22,114660.7,0.0,0.0
146,15/9-F-12,5599,2014,Dec,0.0,0.0,0.0,0.0,0.0,0.0
147,15/9-F-12,5599,2015,Jan,715.58333,25712.55,3780459.43,11588.22,0.0,0.0
148,15/9-F-12,5599,2015,Feb,622.79666,19578.55,2960674.24,15115.5,0.0,0.0
149,15/9-F-12,5599,2015,Mar,665.125,19341.43,2853432.83,19255.66,0.0,0.0
150,15/9-F-12,5599,2015,Apr,720.0,19796.56,2889394.96,20808.06,0.0,0.0
151,15/9-F-12,5599,2015,May,744.0,16996.48,2479620.4,25200.83,0.0,0.0
152,15/9-F-12,5599,2015,Jun,709.31667,19536.3,2859707.1,32902.68,0.0,0.0
153,15/9-F-12,5599,2015,Jul,744.0,19157.45,2846820.92,36480.53,0.0,0.0
154,15/9-F-12,5599,2015,Aug,636.68333,13473.27,2047120.71,31629.02,0.0,0.0
155,15/9-F-12,5599,2015,Sep,719.32486,12494.51,1888048.66,35065.36,0.0,0.0
156,15/9-F-12,5599,2015,Oct,738.66667,11888.63,1821328.15,38151.12,0.0,0.0
157,15/9-F-12,5599,2015,Nov,719.50001,11369.48,1748311.35,37662.5,0.0,0.0
158,15/9-F-12,5599,2015,Dec,731.33334,10855.97,1662453.18,37288.0,0.0,0.0
159,15/9-F-12,5599,2016,Jan,736.49999,9494.98,1487340.06,38969.86,0.0,0.0
160,15/9-F-12,5599,2016,Feb,695.58333,7644.12,1205549.1,35253.46,0.0,0.0
161,15/9-F-12,5599,2016,Mar,743.0,7359.93,1185893.56,40507.21,0.0,0.0
162,15/9-F-12,5599,2016,Apr,718.83333,6152.17,1015034.36,37126.04,0.0,0.0
163,15/9-F-12,5599,2016,May,740.5,5865.13,925513.84,36147.78,0.0,0.0
164,15/9-F-12,5599,2016,Jun,703.25833,5408.31,870533.4,34608.45,0.0,0.0
165,15/9-F-12,5599,2016,Jul,703.72593,4533.82,729319.16,29940.18,0.0,0.0
166,15/9-F-12,5599,2016,Aug,285.89167,1442.03,232557.71,10937.14,0.0,0.0
167,15/9-F-12,5599,2016,Sep,0.0,0.0,0.0,0.0,0.0,0.0
168,15/9-F-14,5351,2008,Feb,0.0,0.0,0.0,0.0,0.0,0.0
169,15/9-F-14,5351,2008,Mar,0.0,0.0,0.0,0.0,0.0,0.0
170,15/9-F-14,5351,2008,Apr,0.0,0.0,0.0,0.0,0.0,0.0
171,15/9-F-14,5351,2008,May,0.0,0.0,0.0,0.0,0.0,0.0
172,15/9-F-14,5351,2008,Jun,0.0,0.0,0.0,0.0,0.0,0.0
173,15/9-F-14,5351,2008,Jul,437.57,51285.08,7538861.07,126.17,0.0,0.0
174,15/9-F-14,5351,2008,Aug,458.4,67621.2,9780532.34,222.53,0.0,0.0
175,15/9-F-14,5351,2008,Sep,642.70833,114596.26,16340514.75,275.73,0.0,0.0
176,15/9-F-14,5351,2008,Oct,742.5,142817.06,20326866.32,101.25,0.0,0.0
